Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
11,129,FELANI RUDI HARTONO,01:10:02,I (MEN 31 - 40),3,Male,11,Indonesia,00:10:39,00:34:35,00:21:53,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10970,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
12,H114,SARAH VIRGINIA COSTEIRA,01:10:15,Top 5 Women,1,Female,1,Portugal,00:11:01,00:33:32,00:21:44,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10955,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
13,G76,FERRY ALVA MAIDIYUANA,01:11:08,G (MEN 30 thn ke bawah),4,Male,12,Indonesia,00:10:24,00:34:04,00:23:04,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10917,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
14,G83,BENI SASTRIYA,01:11:11,G (MEN 30 thn ke bawah),5,Male,13,Indonesia,00:11:14,00:33:15,00:23:04,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10924,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
15,I92,HENDRA SAPUTRA,01:11:34,I (MEN 31 - 40),4,Male,14,Indonesia,00:09:35,00:35:07,00:23:29,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10933,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
16,K108,COLIN WILBY,01:11:37,K (MEN 41 thn ke atas),1,Male,15,England,00:09:55,00:34:52,00:23:05,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10949,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
17,126,DEDY BUNYAMIN,01:12:30,K (MEN 41 thn ke atas),2,Male,16,Indonesia,00:11:12,,00:23:45,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10967,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
18,121,CHAIDIR AKBAR,01:13:32,I (MEN 31 - 40),5,Male,17,Indonesia,00:11:51,00:35:17,00:22:44,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10962,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
19,G78,MANCOKO MANCOKO,01:14:41,G (MEN 30 thn ke bawah),6,Male,18,Indonesia,00:12:40,00:36:38,00:22:33,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10919,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
20,H113,KATHRIANA MELLA,01:15:29,Top 5 Women,2,Female,2,Indonesia,00:07:49,00:37:06,00:26:58,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10954,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
