Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim split 750m,Swim,T1,"Bike CP 1 - km 3,90","Bike CP 2 - km 9,58","Bike CP 3 - km 15,26","Bike CP 4 - km 20,94","Bike CP 5 - km 26,62","Bike CP 6 - km 32,3",Cycle,T2,"Run CP 1 - km 2,5",Run CP 2 - km 5,Run,race_name,race_large_logo,race_category,runner_id,race_link
86,201,Ayulia,03:51:15,50+,3,Female,17,Indonesia,,00:39:54,00:06:44,00:08:13,00:11:50,00:12:21,00:11:55,00:11:57,00:12:30,00:05:04,00:06:11,00:32:01,00:23:04,00:49:25,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216634,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
87,150,Harsono Budiprananto,03:52:24,50+,19,Male,70,Indonesia,00:20:00,00:21:20,00:07:30,00:08:23,00:11:56,00:12:10,00:12:33,00:12:47,00:14:30,00:05:07,00:03:31,00:23:39,00:23:53,00:54:47,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216583,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
,206,Muhammad Farhan,DQ,50+,,Male,,Indonesia,,00:51:09,00:08:51,00:08:57,00:12:48,,,,,01:28:10,00:04:12,00:28:23,,02:26:58,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216639,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
,137,Andrei Dolgov,DNF,30-49,,Male,,Indonesia,00:13:16,00:14:04,00:03:55,00:07:19,00:10:10,00:10:07,00:11:04,00:10:13,00:10:13,00:04:28,00:02:02,00:15:01,00:14:29,,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216570,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
,143,Yoshito Kikumori,DNF,50+,,Male,,Indonesia,00:35:02,,,,,,,,,,,,,,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216576,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
,147,ALEXANDRE DE RINALDIS,DNF,50+,,Male,,Indonesia,00:13:39,00:14:32,00:03:42,00:07:37,00:09:38,00:09:34,,,,,,,,,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216580,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
,169,Maulana Hardi,DNF,30-49,,Unknown,,Indonesia,,,,,,,,,,,,,,,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216602,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
,174,HORLIX LEO,DNF,Under 30,,Unknown,,Indonesia,00:12:37,00:05:35,,,,,,,,,01:18:38,,,,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216607,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
,193,Egidio,DNF,30-49,,Male,,Indonesia,-00:22:45,,,,,,,,,,,,,01:48:37,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216626,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
,199,David Tuerah,DNF,30-49,,Male,,Indonesia,-00:17:46,-00:22:46,,,,,,,,,,,,01:48:37,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216632,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
,203,Elton Pilandilu,DNF,Under 30,,Male,,Indonesia,,00:24:46,,,,,,,,,,,,,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216636,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
,222,Mia Oktaviani,DNF,30-49,,Female,,,,00:35:46,,,,,,,,,,,,,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216655,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
,225,Mark Jackman,DNF,Under 30,,Male,,,00:12:44,00:13:34,00:04:06,00:06:54,00:09:25,00:09:22,00:09:28,00:09:08,,01:18:59,,,,,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216658,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
