Pos,Race No,Last Name,Time,Runner 1,Runner 2,Runner 3,Runner 4,race_name,race_large_logo,race_category,runner_id,race_link
361,138,TAISEI 4,01:08:56,MR YUICHI MURATA,MR ZULHAM PARIS,MR ABU SAERI,MR ALDHI WIJAYA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92054,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
362,374,BMSI 02,01:08:57,DWI BAYU,HANI,IRFAN,KOJI IKEDA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92286,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
363,178,HIS 1,01:09:00,IRMA DANI,DEKA PERKASA ANGKOUW,GLEN FEBRIANO MAKAGIANSAR,TAKESHI OKUMURA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92094,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
364,224,MIZUHOBALIMOR3,01:09:03,RYOMA KAMEI,INTAN MUTIA MURTI,IRFAN MAJID KINANTO,ARYA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92136,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
365,563,LEXUS TTI,01:09:05,RICO ALWINSYAH,ANDA DANIEL SIALAGAN,ADE KURNIAWAN,KAZUSHIGE TATENO,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92475,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
366,438,NITTOC 2,01:09:11,NAKAGAWA,RIZKY,IKHSAN,ADIT,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92350,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
367,423,GROUP 5 FIBM,01:09:12,RADITYO FIBM,ANGGI N FIBM,AHMAD MUSTOPO FIBM,SHINJI ENDO FIBM,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92335,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
368,508,EOJ14 SAMBAL KECOMBRANG,01:09:13,NANAMI SHIGYO,SADAM,RYO TAKEDA,ALLE,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92420,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
369,338,DELOITTE2,01:09:16,PRATAMA SEPDRIAN NUR,YULIANA,KEISUKE OKUBO,RUIYAT ARIF,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92250,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
370,287,PT KML ICHIMASA FOODS,01:09:16,M FAISOL,W LUTFI,KOIKE SHUNSUKE,ASEP ANDI,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92199,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
371,381,MMKI 7,01:09:17,ARIMUNE SHUNSUKE,RIZKI AKBARINI,NUGROHO EPRI ISNANDI,OKKY DWI ANUGRAH,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92293,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
372,31,SUMITOMO FORESTRY SFI TEAM4,01:09:17,TAKAAKI MORI,DINI,TAKUYA YAZAWA,TOMO,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-91947,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
373,203,TEAM MIYAMA,01:09:18,GANDA SETIAWAN,KOKUDAI JINGO,TATANG SUPRIATNA,IKAL HERMANSYAH,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92115,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
